pilbl,equation,weight,obgnme,names
pi_obj_func,1.095000 * q1 + 0.276000 * q2a + 0.273000 * q2b + 0.273000 * q2c + 0.273000 * q2d + 0.273000 * q4a + 0.273000 * q4b + -0.110400 * im9 + -0.109200 * im10 + -0.109200 * im11 + -0.109200 * im12 = 0.0,1.0,obj_func,"['q1', 'q2a', 'q2b', 'q2c', 'q2d', 'q4a', 'q4b', 'im9', 'im10', 'im11', 'im12']"
pi_const1,1.0 * q1 + 1.0 * q2a = 80000.0,1.0,less_pi,"['q1', 'q2a']"
pi_const2,1.0 * q1 + 1.0 * q2a = 30000.0,1.0,greater_pi,"['q1', 'q2a']"
pi_const3,1.0 * q1 + 1.0 * q2b + 1.0 * q4a = 80000.0,1.0,less_pi,"['q1', 'q2b', 'q4a']"
pi_const4,1.0 * q1 + 1.0 * q2b + 1.0 * q4a = 30000.0,1.0,greater_pi,"['q1', 'q2b', 'q4a']"
pi_const5,1.0 * q1 + 1.0 * q2c = 80000.0,1.0,less_pi,"['q1', 'q2c']"
pi_const6,1.0 * q1 + 1.0 * q2c = 30000.0,1.0,greater_pi,"['q1', 'q2c']"
pi_const7,1.0 * q1 + 1.0 * q2d + 1.0 * q4b = 80000.0,1.0,less_pi,"['q1', 'q2d', 'q4b']"
pi_const8,1.0 * q1 + 1.0 * q2d + 1.0 * q4b = 30000.0,1.0,greater_pi,"['q1', 'q2d', 'q4b']"
pi_const9,1.0 * q1 + 1.0 * q2a = 80000.0,1.0,less_pi,"['q1', 'q2a']"
pi_const10,1.0 * q1 + 1.0 * q2a = 25000.0,1.0,greater_pi,"['q1', 'q2a']"
pi_const11,1.0 * q1 + 1.0 * q2b + 1.0 * q4a = 80000.0,1.0,less_pi,"['q1', 'q2b', 'q4a']"
pi_const12,1.0 * q1 + 1.0 * q2b + 1.0 * q4a = 25000.0,1.0,greater_pi,"['q1', 'q2b', 'q4a']"
pi_const13,1.0 * q1 + 1.0 * q2c = 80000.0,1.0,less_pi,"['q1', 'q2c']"
pi_const14,1.0 * q1 + 1.0 * q2c = 25000.0,1.0,greater_pi,"['q1', 'q2c']"
pi_const15,1.0 * q1 + 1.0 * q2d + 1.0 * q4b = 80000.0,1.0,less_pi,"['q1', 'q2d', 'q4b']"
pi_const16,1.0 * q1 + 1.0 * q2d + 1.0 * q4b = 25000.0,1.0,greater_pi,"['q1', 'q2d', 'q4b']"
pi_const17,1.0 * q1 + 1.0 * q2a + 1.0 * im9 = 80000.0,1.0,less_pi,"['q1', 'q2a', 'im9']"
pi_const18,1.0 * q1 + 1.0 * q2a + 1.0 * im9 = 45000.0,1.0,greater_pi,"['q1', 'q2a', 'im9']"
pi_const19,1.0 * q1 + 1.0 * q2b + 1.0 * q4a + 1.0 * im10 = 80000.0,1.0,less_pi,"['q1', 'q2b', 'q4a', 'im10']"
pi_const20,1.0 * q1 + 1.0 * q2b + 1.0 * q4a + 1.0 * im10 = 45000.0,1.0,greater_pi,"['q1', 'q2b', 'q4a', 'im10']"
pi_const21,1.0 * q1 + 1.0 * q2c + 1.0 * im11 = 80000.0,1.0,less_pi,"['q1', 'q2c', 'im11']"
pi_const22,1.0 * q1 + 1.0 * q2c + 1.0 * im11 = 45000.0,1.0,greater_pi,"['q1', 'q2c', 'im11']"
pi_const23,1.0 * q1 + 1.0 * q2d + 1.0 * q4b + 1.0 * im12 = 80000.0,1.0,less_pi,"['q1', 'q2d', 'q4b', 'im12']"
pi_const24,1.0 * q1 + 1.0 * q2d + 1.0 * q4b + 1.0 * im12 = 45000.0,1.0,greater_pi,"['q1', 'q2d', 'q4b', 'im12']"
