time,S1R01,S1R02,S1R03,S1R04,S1R05,S1R06,S1R07,S1R08,S1R09,S1R10,S1R11,S1R12,S1R13,S1R14,S1R15,S1R16,S1R17,S1R18,S1R19,S1R20,S1R21,S1R22,S2R01,S2R02,S2R03,S2R04,S2R05,S2R06,S2R07,S2R08,S2R09,S3R01,S3R02,S3R03,S3R04,S3R05,S3R06,S3R07,S3R08,S3R09
92.00000000000,-131262.70,-173040.41,-210393.09,-246824.02,-284201.24,-316948.02,-349553.75,-382407.61,-415393.89,-448452.95,-482217.53,-522123.44,-561448.19,-601621.33,-643995.00,-692102.53,-730002.05,-766226.89,-807032.66,-838298.78,-862685.70,-870401.25,-79292.591,-111165.26,-147448.22,-198426.29,-235898.41,-265135.17,-287695.67,-304799.15,-317119.81,-1195177.1,-1219328.3,-1240424.4,-1261845.2,-1287187.6,-1320509.2,-1361098.0,-1412386.3,0.0000000
183.0000000000,-128153.68,-166259.13,-199842.60,-232641.63,-266873.90,-296846.24,-326685.03,-356750.06,-386936.46,-417193.75,-448117.67,-484744.05,-520245.10,-556398.31,-594787.72,-639195.44,-674015.52,-707252.69,-744772.21,-772806.73,-794459.91,-801152.20,-76643.409,-105899.44,-139551.27,-187508.74,-221549.28,-247375.57,-266845.61,-281435.93,-292498.71,-1100285.7,-1121934.5,-1140816.6,-1159885.0,-1182268.1,-1212181.8,-1249422.1,-1297860.9,0.0000000
274.0000000000,-127121.72,-163987.77,-196373.49,-228031.86,-261247.29,-290332.21,-319289.79,-348469.85,-377771.39,-407146.93,-437178.54,-472766.36,-507107.88,-542057.34,-579249.66,-622498.21,-656394.45,-688754.76,-725320.44,-752472.15,-773368.41,-779806.11,-75973.096,-104560.18,-137519.33,-184623.59,-217774.15,-242741.12,-261443.68,-275411.41,-286124.12,-1072302.0,-1093252.5,-1111562.8,-1130064.6,-1151785.5,-1180895.9,-1217315.7,-1264989.8,0.0000000
365.0000000000,-127502.55,-164819.96,-197654.12,-229747.40,-263359.41,-292787.74,-322084.62,-351604.59,-381245.91,-410960.56,-441336.43,-477326.25,-512108.48,-547511.09,-585151.67,-628830.58,-663077.31,-695774.36,-732709.18,-760210.10,-781407.75,-787951.32,-76252.425,-105117.76,-138363.44,-185815.48,-219327.63,-244643.39,-263658.61,-277881.41,-288733.47,-1083164.3,-1104397.0,-1122942.8,-1141680.2,-1163676.2,-1193117.9,-1229876.6,-1277868.5,0.0000000
457.0000000000,-127302.86,-164382.89,-196983.02,-228850.48,-262257.77,-291508.39,-320629.47,-349973.24,-379438.44,-408977.43,-439175.19,-474957.40,-509511.07,-544678.14,-582085.36,-625539.66,-659604.46,-692127.25,-728871.45,-756193.00,-777236.17,-783725.91,-76110.576,-104834.53,-137934.41,-185208.92,-218536.49,-243674.14,-262529.68,-276622.21,-287402.69,-1077553.1,-1098641.6,-1117067.5,-1135685.1,-1157541.5,-1186815.0,-1223401.5,-1271232.0,0.0000000
548.0000000000,-127956.19,-165815.57,-199177.78,-231777.18,-265844.95,-295669.69,-325359.27,-355273.12,-385308.08,-415415.12,-446188.46,-482641.28,-517935.70,-553867.74,-592034.02,-636221.25,-670876.14,-703962.17,-741321.12,-769217.14,-790754.35,-797414.03,-76557.502,-105727.30,-139288.08,-187127.01,-221040.54,-246743.32,-266104.96,-280609.92,-291619.31,-1095632.3,-1117180.3,-1135985.8,-1154980.6,-1177275.8,-1207079.9,-1244210.0,-1292550.5,0.0000000
639.0000000000,-127108.49,-163957.84,-196329.55,-227975.95,-261182.19,-290258.53,-319207.30,-348378.41,-377671.03,-407037.81,-437060.83,-472639.15,-506968.87,-541905.41,-579084.45,-622319.46,-656206.09,-688557.92,-725114.88,-752259.71,-773150.48,-779586.88,-75969.882,-104553.66,-137509.11,-184608.10,-217753.14,-242714.69,-261412.38,-275376.14,-286086.07,-1072043.1,-1092989.1,-1111296.1,-1129795.2,-1151513.0,-1180619.5,-1217035.3,-1264705.7,0.0000000
730.0000000000,-127501.62,-164817.85,-197651.05,-229743.54,-263354.98,-292782.76,-322079.07,-351598.47,-381239.22,-410953.31,-441328.65,-477317.90,-512099.40,-547501.19,-585140.91,-628818.94,-663065.06,-695761.60,-732695.89,-760196.42,-781393.79,-787937.30,-76252.279,-105117.46,-138362.96,-185814.73,-219326.59,-244642.06,-263657.01,-277879.59,-288731.49,-1083148.3,-1104380.7,-1122926.4,-1141663.6,-1163659.5,-1193101.0,-1229859.6,-1277851.3,0.0000000
822.0000000000,-127302.79,-164382.74,-196982.81,-228850.21,-262257.46,-291508.05,-320629.09,-349972.82,-379437.99,-408976.94,-439174.66,-474956.84,-509510.47,-544677.48,-582084.64,-625538.89,-659603.64,-692126.41,-728870.56,-756192.10,-777235.25,-783724.98,-76110.568,-104834.51,-137934.38,-185208.88,-218536.43,-243674.06,-262529.59,-276622.11,-287402.57,-1077552.1,-1098640.6,-1117066.4,-1135684.1,-1157540.5,-1186813.9,-1223400.4,-1271230.9,0.0000000
913.0000000000,-127956.18,-165815.56,-199177.76,-231777.17,-265844.93,-295669.67,-325359.25,-355273.09,-385308.05,-415415.08,-446188.42,-482641.24,-517935.66,-553867.69,-592033.97,-636221.20,-670876.08,-703962.11,-741321.06,-769217.08,-790754.29,-797413.96,-76557.501,-105727.30,-139288.08,-187127.00,-221040.54,-246743.32,-266104.95,-280609.91,-291619.30,-1095632.2,-1117180.2,-1135985.8,-1154980.5,-1177275.7,-1207079.8,-1244209.9,-1292550.4,0.0000000
1004.000000000,-127108.49,-163957.84,-196329.55,-227975.95,-261182.19,-290258.53,-319207.30,-348378.41,-377671.02,-407037.81,-437060.83,-472639.15,-506968.86,-541905.41,-579084.44,-622319.46,-656206.08,-688557.92,-725114.88,-752259.70,-773150.48,-779586.87,-75969.882,-104553.66,-137509.11,-184608.10,-217753.14,-242714.69,-261412.38,-275376.13,-286086.07,-1072043.1,-1092989.1,-1111296.1,-1129795.2,-1151513.0,-1180619.5,-1217035.3,-1264705.7,0.0000000
1095.000000000,-127501.62,-164817.85,-197651.05,-229743.54,-263354.98,-292782.76,-322079.07,-351598.47,-381239.22,-410953.31,-441328.65,-477317.90,-512099.40,-547501.19,-585140.91,-628818.94,-663065.06,-695761.60,-732695.89,-760196.42,-781393.78,-787937.30,-76252.279,-105117.46,-138362.96,-185814.73,-219326.59,-244642.06,-263657.01,-277879.59,-288731.49,-1083148.3,-1104380.7,-1122926.4,-1141663.6,-1163659.5,-1193101.0,-1229859.6,-1277851.3,0.0000000
