pilbl,equation,weight,obgnme,names
pi_obj_func,0.092000 * w000_00 + 0.091000 * w000_01 + 0.091000 * w000_02 + 0.091000 * w000_03 + 0.092000 * w000_04 + 0.091000 * w000_05 + 0.091000 * w000_06 + 0.091000 * w000_07 + 0.092000 * w000_08 + 0.091000 * w000_09 + 0.091000 * w000_10 + 0.091000 * w000_11 + 0.092000 * w001_00 + 0.091000 * w001_01 + 0.091000 * w001_02 + 0.091000 * w001_03 + 0.092000 * w001_04 + 0.091000 * w001_05 + 0.091000 * w001_06 + 0.091000 * w001_07 + 0.092000 * w001_08 + 0.091000 * w001_09 + 0.091000 * w001_10 + 0.091000 * w001_11 + 0.092000 * w002_00 + 0.091000 * w002_01 + 0.091000 * w002_02 + 0.091000 * w002_03 + 0.092000 * w002_04 + 0.091000 * w002_05 + 0.091000 * w002_06 + 0.091000 * w002_07 + 0.092000 * w002_08 + 0.091000 * w002_09 + 0.091000 * w002_10 + 0.091000 * w002_11 + 0.092000 * w003_00 + 0.091000 * w003_01 + 0.091000 * w003_02 + 0.091000 * w003_03 + 0.092000 * w003_04 + 0.091000 * w003_05 + 0.091000 * w003_06 + 0.091000 * w003_07 + 0.092000 * w003_08 + 0.091000 * w003_09 + -0.110400 * im9 + -0.109200 * im10 + -0.109200 * im11 + -0.109200 * im12 = 0.0,1.0,obj_func,"['w000_00', 'w000_01', 'w000_02', 'w000_03', 'w000_04', 'w000_05', 'w000_06', 'w000_07', 'w000_08', 'w000_09', 'w000_10', 'w000_11', 'w001_00', 'w001_01', 'w001_02', 'w001_03', 'w001_04', 'w001_05', 'w001_06', 'w001_07', 'w001_08', 'w001_09', 'w001_10', 'w001_11', 'w002_00', 'w002_01', 'w002_02', 'w002_03', 'w002_04', 'w002_05', 'w002_06', 'w002_07', 'w002_08', 'w002_09', 'w002_10', 'w002_11', 'w003_00', 'w003_01', 'w003_02', 'w003_03', 'w003_04', 'w003_05', 'w003_06', 'w003_07', 'w003_08', 'w003_09', 'im9', 'im10', 'im11', 'im12']"
pi_const1,1.0 * w000_00 + 1.0 * w001_00 + 1.0 * w002_00 + 1.0 * w003_00 = 160000.0,1.0,less_pi,"['w000_00', 'w001_00', 'w002_00', 'w003_00']"
pi_const2,1.0 * w000_00 + 1.0 * w001_00 + 1.0 * w002_00 + 1.0 * w003_00 = 60000.0,1.0,greater_pi,"['w000_00', 'w001_00', 'w002_00', 'w003_00']"
pi_const3,1.0 * w000_01 + 1.0 * w001_01 + 1.0 * w002_01 + 1.0 * w003_01 = 106666.66666666666,1.0,less_pi,"['w000_01', 'w001_01', 'w002_01', 'w003_01']"
pi_const4,1.0 * w000_01 + 1.0 * w001_01 + 1.0 * w002_01 + 1.0 * w003_01 = 40000.0,1.0,greater_pi,"['w000_01', 'w001_01', 'w002_01', 'w003_01']"
pi_const5,1.0 * w000_02 + 1.0 * w001_02 + 1.0 * w002_02 + 1.0 * w003_02 = 160000.0,1.0,less_pi,"['w000_02', 'w001_02', 'w002_02', 'w003_02']"
pi_const6,1.0 * w000_02 + 1.0 * w001_02 + 1.0 * w002_02 + 1.0 * w003_02 = 60000.0,1.0,greater_pi,"['w000_02', 'w001_02', 'w002_02', 'w003_02']"
pi_const7,1.0 * w000_03 + 1.0 * w001_03 + 1.0 * w002_03 + 1.0 * w003_03 = 106666.66666666666,1.0,less_pi,"['w000_03', 'w001_03', 'w002_03', 'w003_03']"
pi_const8,1.0 * w000_03 + 1.0 * w001_03 + 1.0 * w002_03 + 1.0 * w003_03 = 40000.0,1.0,greater_pi,"['w000_03', 'w001_03', 'w002_03', 'w003_03']"
pi_const9,1.0 * w000_04 + 1.0 * w001_04 + 1.0 * w002_04 + 1.0 * w003_04 = 160000.0,1.0,less_pi,"['w000_04', 'w001_04', 'w002_04', 'w003_04']"
pi_const10,1.0 * w000_04 + 1.0 * w001_04 + 1.0 * w002_04 + 1.0 * w003_04 = 50000.0,1.0,greater_pi,"['w000_04', 'w001_04', 'w002_04', 'w003_04']"
pi_const11,1.0 * w000_05 + 1.0 * w001_05 + 1.0 * w002_05 + 1.0 * w003_05 = 106666.66666666666,1.0,less_pi,"['w000_05', 'w001_05', 'w002_05', 'w003_05']"
pi_const12,1.0 * w000_05 + 1.0 * w001_05 + 1.0 * w002_05 + 1.0 * w003_05 = 33333.33333333333,1.0,greater_pi,"['w000_05', 'w001_05', 'w002_05', 'w003_05']"
pi_const13,1.0 * w000_06 + 1.0 * w001_06 + 1.0 * w002_06 + 1.0 * w003_06 = 160000.0,1.0,less_pi,"['w000_06', 'w001_06', 'w002_06', 'w003_06']"
pi_const14,1.0 * w000_06 + 1.0 * w001_06 + 1.0 * w002_06 + 1.0 * w003_06 = 50000.0,1.0,greater_pi,"['w000_06', 'w001_06', 'w002_06', 'w003_06']"
pi_const15,1.0 * w000_07 + 1.0 * w001_07 + 1.0 * w002_07 + 1.0 * w003_07 = 106666.66666666666,1.0,less_pi,"['w000_07', 'w001_07', 'w002_07', 'w003_07']"
pi_const16,1.0 * w000_07 + 1.0 * w001_07 + 1.0 * w002_07 + 1.0 * w003_07 = 33333.33333333333,1.0,greater_pi,"['w000_07', 'w001_07', 'w002_07', 'w003_07']"
pi_const17,1.0 * w000_08 + 1.0 * w001_08 + 1.0 * w002_08 + 1.0 * w003_08 + 1.0 * im9 = 133333.33333333334,1.0,less_pi,"['w000_08', 'w001_08', 'w002_08', 'w003_08', 'im9']"
